release_id,app_id,app_slug,app_name,repository,tag,version,platform,build_type,artifact_path,checksum_sha256,previous_tag,status,release_date,release_title,summary,changes,compatibility,upgrade_notes,notes
REL-0001,APP-0002,tagweaver,TagWeaver,onnellab/tagweaver,v2.1.3,2.1.3,android,release,,,,planned,2026-07-12,TagWeaver v2.1.3,TagWeaver 2.1.3 public store update detected.,Local Flutter build metadata version.,android public release.,No special upgrade steps documented yet.,"Updated from local-ahead metadata after the same version was confirmed on the public store. Add release artifact, checksum, and set status=ready after verifying the release build."
REL-0002,APP-0003,vaultxt,VaultXT,onnellab/onnellab-text,v1.0.6,1.0.6,ios,release,,,,planned,2026-04-30,VaultXT v1.0.6,VaultXT 1.0.6 local build metadata is ahead of the store snapshot.,Local build metadata version 1.0.6 is ahead of store snapshot 1.0.3.,ios public release.,No special upgrade steps documented yet.,"Generated from local build metadata because local version is ahead of store snapshot. Store version: 1.0.3. Add release artifact, checksum, and set status=ready after verifying the release build."
REL-0003,APP-0004,segra,Segra,onnellab/segra,v1.0.2,1.0.2,android,release,,,,planned,2026-07-10,Segra v1.0.2,Segra 1.0.2 public store update detected.,Local Flutter build metadata version.,android public release.,No special upgrade steps documented yet.,"Updated from local-ahead metadata after the same version was confirmed on the public store. Add release artifact, checksum, and set status=ready after verifying the release build."
