release_id,public_release,approved_at,notes
REL-0001,true,2026-07-13T09:00:00+09:00,Approved for notes-only GitHub Release after TagWeaver 2.1.3 was confirmed on the public Google Play store.
REL-0003,true,2026-07-13T09:00:00+09:00,Approved for notes-only GitHub Release after Segra 1.0.2 was confirmed on the public Google Play store.
REL-0004,true,2026-07-13T23:50:00+09:00,Approved for notes-only GitHub Release after TagWeaver 2.2 was confirmed on the public App Store.
REL-0005,true,2026-07-13T23:50:00+09:00,Approved for notes-only GitHub Release after ClipNest 1.0.2 was confirmed on the public App Store.
REL-0007,true,2026-07-22T04:38:55.367Z,Dashboard manual approval after public store release confirmation.
REL-0009,true,2026-09-18T05:55:32.592Z,Dashboard manual approval after public store release confirmation.
REL-0011,true,2026-09-18T05:55:54.835Z,Dashboard manual approval after public store release confirmation.
REL-0012,true,2026-09-18T05:55:57.911Z,Dashboard manual approval after public store release confirmation.
