review_id,app_id,app_slug,app_name,platform,rating,review_kind,title,body,reviewer_language,territory,app_version,created_at,updated_at,developer_reply,reply_updated_at,status,synced_at,verified_at,verification_source
00000192-e776-1303-64a5-9ced00000000,APP-0002,tagweaver,TagWeaver,ios,5,review,"A simple app, and it just works","I’ve tired many other apps for metadata editing, but this one was by far the simplest, easiest and quickest. It doesn’t ruin user experience by asking for payment. It provides all the features, in a simple way, way better than other apps. Definitely an underrated app. 10/10, hell yeah, would recommend",,,,2026-09-20T12:09:46-07:00,2026-09-20T12:09:46-07:00,,,pending,2026-09-22T02:04:04+00:00,2026-09-22T02:04:04+00:00,apple_complete_review_list
873ee7f8-107e-4b31-8876-51d88b27fa5c,APP-0002,tagweaver,TagWeaver,android,5,review,,"[UPDATED] This is an extremely good tag editor. I like how this app is so simple, can only access files you give permission to, has ability to load AND export album covers and has no ads but only one in app purchase. I had an issue with being unable to change flac album covers, but the dev fixed it after my review. Although this app can only edit mp3 and flac files, it works great for what it advertises itself as.",en,,2.3.0,2026-08-24T21:45:11Z,2026-08-29T19:53:11+00:00,"Thank you so much for updating your review! Your detailed report about the FLAC cover art issue really helped us track it down and get it fixed. We’re very glad to hear TagWeaver is working well for you now. Thanks again for taking the time to report the issue, test the fix, and update your review — we really appreciate it!",2026-08-30T10:43:33+00:00,replied,2026-09-22T02:04:04+00:00,2026-09-22T02:04:04+00:00,google_reviews_get
01c61214-a153-466b-9890-1de1f2cb4157,APP-0002,tagweaver,TagWeaver,android,1,review,,no funcionó ..,es,,2.2.2,2026-08-22T02:00:04Z,2026-08-22T02:00:04+00:00,"Lamentamos que no haya funcionado. Estamos revisando y corrigiendo algunos problemas que pueden afectar al funcionamiento de la app. Si puedes contarnos qué función no funcionó o qué ocurrió, nos ayudaría mucho a identificar el problema. Gracias por avisarnos.",2026-08-26T00:35:40+00:00,replied,2026-09-22T02:04:04+00:00,2026-09-22T02:04:04+00:00,google_reviews_get
3cc2fa76-e7b8-4925-bb88-a9f34388a2c1,APP-0002,tagweaver,TagWeaver,android,1,review,,not free as stated in the play store. 1 star just because of that,en,,,2026-07-24T02:59:20Z,2026-07-24T02:59:20+00:00,Thanks for your feedback. The app is free to use for editing individual files. Only the batch editing feature is part of the optional Pro upgrade. We'll also work on making this distinction clearer in the app and on the store page.,2026-07-24T05:52:22+00:00,replied,2026-09-22T02:04:04+00:00,2026-09-22T02:04:04+00:00,google_reviews_get
d0be20cd-9d2e-4f45-b3cf-4e7a89837265,APP-0003,vaultxt,VaultXT,android,1,review,,"Dando crash, não importa o txt. Embora diz ""Largo"" só deve funcionar com arquivos pequenos abaixo de 10mb. 50Mb não funciona!",en,,1.0.3,2026-07-11T18:06:10Z,2026-07-11T18:07:19+00:00,"Obrigado pelo seu feedback. Pedimos desculpas pelas falhas e pela demora no retorno. A versão 2.0 já está disponível, com melhorias na edição de arquivos grandes. Poderia atualizar o app e nos dizer se ele ainda fecha ao abrir arquivos de 50 MB? Obrigado por nos ajudar a melhorar o VaultXT.",2026-09-15T01:14:24+00:00,replied,2026-09-22T02:04:04+00:00,2026-09-22T02:04:04+00:00,google_reviews_get
00000192-e776-1303-5099-ad2300000000,APP-0002,tagweaver,TagWeaver,ios,5,review,A clean and simple MP3 tag editor; just what I wanted.,"I’ve been looking for a straightforward MP3 tag editor for iPhone, and this is exactly what I wanted. No ads, no subscriptions, no AI trying to guess or “fix” my metadata — just a clean, manual editor that lets me change exactly what I want and nothing else.

The developer was also quick to respond to a question I had, which gave me confidence that the app is actively supported.

If you maintain your own music library and just want a simple, respectful tag editor, I highly recommend TagWeaver.",,,,2026-06-28T07:50:03-07:00,2026-06-28T07:50:03-07:00,"Thank you so much for your thoughtful review!

We're delighted to hear that TagWeaver is exactly the kind of tag editor you were looking for. Our goal is to create simple, respectful tools that give users full control over their own metadata—without ads, subscriptions, or AI making changes on their behalf.

Thank you as well for sharing your feedback. Suggestions like yours help us improve TagWeaver, and we're already planning future updates based on user input.

We truly appreciate your support, and we hope TagWeaver continues to be a valuable part of your music library!",2026-06-29T18:00:05-07:00,replied,2026-09-22T02:04:04+00:00,2026-09-22T02:04:04+00:00,apple_complete_review_list
d52818fd-cde9-425b-8753-90a2aaaf5e30,APP-0002,tagweaver,TagWeaver,android,1,review,,"It only works with mp3. Moreover, you have to choose one track for editing.",ru,,,2026-05-26T10:55:35Z,2026-05-26T10:55:35+00:00,"Thanks for the feedback.

TagWeaver is currently designed as an MP3 tag editor, which is stated in the app title and description. Batch editing of multiple tracks is available through the Pro version, while the free version focuses on single-track editing.

I appreciate the feedback and will continue improving the app experience and onboarding.
",2026-05-30T15:09:29+00:00,replied,2026-09-22T02:04:04+00:00,2026-09-22T02:04:04+00:00,google_reviews_get
2d6db60b-48c2-4b01-bc55-13378bee7235,APP-0003,vaultxt,VaultXT,android,1,review,,No puedo abrir los archivos .txt con este editor.,es,,,2026-05-07T22:32:25Z,2026-05-07T22:32:25+00:00,"¡Gracias por tu comentario! Lamentamos el problema al abrir tus archivos .txt. La versión 2.0 ya está disponible. ¿Podrías actualizar la app y volver a intentarlo? Si el problema continúa, cuéntanos cómo intentas abrirlos y si aparece algún mensaje de error, sin compartir el contenido. Gracias por ayudarnos a mejorar VaultXT.",2026-09-15T01:15:01+00:00,replied,2026-09-22T02:04:04+00:00,2026-09-22T02:04:04+00:00,google_reviews_get
4dde3c57-cfa9-4ac1-acee-ad602251da81,APP-0002,tagweaver,TagWeaver,android,5,review,,good app,th,,1.0.0,2026-03-23T14:01:34Z,2026-03-23T14:01:34+00:00,Thanks for using TagWeaver. Simple and clean tag editing is what we aim for.,2026-04-02T13:01:49+00:00,replied,2026-09-22T02:04:04+00:00,2026-09-22T02:04:04+00:00,google_reviews_get
