app_id,app_slug,package,version,last_updated,release_notes,source,notes
APP-0006,aligna,com.onnellab.aligna,1.0.6,2026-09-27,,local_build_metadata,Imported from github:onnellab/aligna/pubspec.yaml version 1.0.6+22; confirm against Play Console if needed.
APP-0007,melivra,com.onnellab.melivra,1.0.1,2026-09-27,,local_build_metadata,Imported from github:onnellab/melivra/pubspec.yaml version 1.0.1+137; confirm against Play Console if needed.
APP-0001,quivra,com.onnellab.quivra2,1.0.8,2026-09-27,,local_build_metadata,Imported from github:onnellab/quivra/pubspec.yaml version 1.0.8+83; confirm against Play Console if needed.
APP-0004,segra,com.onnellab.segra,1.0.5,2026-09-27,,local_build_metadata,Imported from github:onnellab/segra/pubspec.yaml version 1.0.5+75; confirm against Play Console if needed.
APP-0002,tagweaver,com.onnellab.tagweaver2,2.5.1,2026-09-27,,local_build_metadata,Imported from github:onnellab/tagweaver/pubspec.yaml version 2.5.1+95; confirm against Play Console if needed.
APP-0003,vaultxt,com.onnellab.vaultxt,2.0.0,2026-09-27,,local_build_metadata,Imported from github:onnellab/onnellab-text/vaultxt/pubspec.yaml version 2.0.0+65; confirm against Play Console if needed.
